! time                    int_diameter            frank_diameter          perfect_diameter        vac_diameter            faulted_diameter        void_diameter           
  2.900000000000000E+002  1.763909740776430E-001  7.546292163024355E-001  5.079051401295891E-001  1.406939042793033E-001  8.199184876414121E-001  2.556784652483401E-001
  3.000000000000000E+002  1.763914780885861E-001  7.553462169630695E-001  5.096066106879400E-001  1.406940709446641E-001  8.226263641136816E-001  2.556791872578035E-001
  3.100000000000000E+002  1.763921151439605E-001  7.560319474814015E-001  5.112634701876798E-001  1.406942365658820E-001  8.252774390226775E-001  2.556799066055881E-001
  3.200000000000000E+002  1.763928653214328E-001  7.566889021603822E-001  5.128776133399819E-001  1.406944011382503E-001  8.278749098873345E-001  2.556806230952184E-001
  3.300000000000000E+002  1.763937116594979E-001  7.573193007449487E-001  5.144508213626474E-001  1.406945646610191E-001  8.304216701851393E-001  2.556813365675282E-001
  3.400000000000000E+002  1.763946396694606E-001  7.579251260059185E-001  5.159847704131190E-001  1.406947271366537E-001  8.329203492444957E-001  2.556820468946683E-001
  3.500000000000000E+002  1.763956369371221E-001  7.585081552613611E-001  5.174810393267800E-001  1.406948885702290E-001  8.353733456447252E-001  2.556827539751415E-001
  3.600000000000000E+002  1.763966927959585E-001  7.590699869501538E-001  5.189411167125990E-001  1.406950489689305E-001  8.377828553677173E-001  2.556834577296734E-001
  3.700000000000000E+002  1.763977980576204E-001  7.596120631441184E-001  5.203664074577383E-001  1.406952083416434E-001  8.401508956717909E-001  2.556841580977637E-001
  3.800000000000000E+002  1.763989447886455E-001  7.601356887080157E-001  5.217582386907984E-001  1.406953666986124E-001  8.424793254528901E-001  2.556848550347928E-001
  3.900000000000000E+002  1.764001261246314E-001  7.606420476783642E-001  5.231178652505510E-001  1.406955240511614E-001  8.447698627018450E-001  2.556855485095916E-001
  4.000000000000000E+002  1.764013361149269E-001  7.611322173233446E-001  5.244464747037736E-001  1.406956804114592E-001  8.470240995459314E-001  2.556862385023893E-001
  4.200000000000000E+002  1.764038196158453E-001  7.620722342406803E-001  5.270152391240956E-001  1.406959890775243E-001  8.514543742466018E-001  2.556876028867840E-001
  4.400000000000000E+002  1.764063609903053E-001  7.629578779511054E-001  5.294734539458553E-001  1.406962940524486E-001  8.557486713258433E-001  2.556889538826836E-001
  4.600000000000000E+002  1.764089373848902E-001  7.637949432250009E-001  5.318284398789892E-001  1.406965954135988E-001  8.599188815662052E-001  2.556902914163719E-001
  4.800000000000000E+002  1.764115293531481E-001  7.645883959094312E-001  5.340868657306060E-001  1.406968932596802E-001  8.639746438707987E-001  2.556916155898706E-001
  5.000000000000000E+002  1.764141221046337E-001  7.653425057414044E-001  5.362548028680895E-001  1.406971876936056E-001  8.679241504486046E-001  2.556929265792968E-001
  5.200000000000000E+002  1.764167043659337E-001  7.660609633438235E-001  5.383377873623815E-001  1.406974788187640E-001  8.717745296718921E-001  2.556942246054537E-001
  5.400000000000000E+002  1.764192675567275E-001  7.667469764304210E-001  5.403408779484578E-001  1.406977667372249E-001  8.755320740087562E-001  2.556955099175889E-001
  5.600000000000000E+002  1.764218051796617E-001  7.674033480213182E-001  5.422687076377747E-001  1.406980515487344E-001  8.792023944666779E-001  2.556967827828391E-001
  5.800000000000000E+002  1.764243123588675E-001  7.680325400697406E-001  5.441255290939547E-001  1.406983333501236E-001  8.827905333692412E-001  2.556980434788679E-001
  6.000000000000000E+002  1.764267854864701E-001  7.686367254354305E-001  5.459152544020546E-001  1.406986122349669E-001  8.863010506153896E-001  2.556992922885722E-001
  6.200000000000000E+002  1.764292219494383E-001  7.692178305668190E-001  5.476414899349469E-001  1.406988882934022E-001  8.897380917366746E-001  2.557005294962288E-001
  6.400000000000000E+002  1.764316199170577E-001  7.697775707540112E-001  5.493075669721345E-001  1.406991616120586E-001  8.931054428028717E-001  2.557017553846766E-001
  6.600000000000000E+002  1.764339781746095E-001  7.703174794134039E-001  5.509165686485720E-001  1.406994322740579E-001  8.964065754734056E-001  2.557029702332690E-001
  6.800000000000000E+002  1.764362959925566E-001  7.708389325513275E-001  5.524713537320336E-001  1.406997003590664E-001  8.996446844641665E-001  2.557041743163946E-001
  7.000000000000000E+002  1.764385730231984E-001  7.713431693113387E-001  5.539745776558012E-001  1.406999659433805E-001  9.028227190544358E-001  2.557053679024314E-001
  7.200000000000000E+002  1.764408092187173E-001  7.718313093219356E-001  5.554287111710561E-001  1.407002291000338E-001  9.059434098323993E-001  2.557065512530265E-001
  7.400000000000000E+002  1.764430047659687E-001  7.723043674156909E-001  5.568360569299946E-001  1.407004898989187E-001  9.090092915845825E-001  2.557077246226249E-001
  7.600000000000000E+002  1.764451600344485E-001  7.727632661772411E-001  5.581987642654954E-001  1.407007484069153E-001  9.120227230261900E-001  2.557088882581835E-001
  7.800000000000000E+002  1.764472755346794E-001  7.732088466886214E-001  5.595188423949402E-001  1.407010046880243E-001  9.149859039175189E-001  2.557100423990326E-001
  8.000000000000000E+002  1.764493518848695E-001  7.736418777704304E-001  5.607981722435308E-001  1.407012588035000E-001  9.179008899985093E-001  2.557111872768405E-001
  8.200000000000000E+002  1.764513897841647E-001  7.740630639618744E-001  5.620385170551392E-001  1.407015108119825E-001  9.207696060880072E-001  2.557123231156616E-001
  8.400000000000000E+002  1.764533899911758E-001  7.744730524386422E-001  5.632415319356282E-001  1.407017607696253E-001  9.235938576282455E-001  2.557134501320448E-001
  8.600000000000000E+002  1.764553533067407E-001  7.748724390322463E-001  5.644087724539819E-001  1.407020087302207E-001  9.263753409039894E-001  2.557145685351827E-001
  8.800000000000000E+002  1.764572805600933E-001  7.752617734860892E-001  5.655417024098933E-001  1.407022547453185E-001  9.291156521251964E-001  2.557156785270993E-001
