! time                    mass_defect             defect_inventory        sink_inventory          leak_inventory          edge_inventory          
  1.600000000000000E+000 -1.013078509970455E-014 -1.755207960017827E-001  2.066222848918730E-002  0.000000000000000E+000  1.548585675125853E-001
  1.800000000000000E+000 -1.021405182655144E-014 -1.943581454857762E-001  2.295666630501464E-002  0.000000000000000E+000  1.714014791807513E-001
  2.000000000000000E+000 -1.032507412901396E-014 -2.126571348978078E-001  2.519572595345730E-002  0.000000000000000E+000  1.874614089443402E-001
  2.200000000000000E+000 -1.021405182655144E-014 -2.304437511691786E-001  2.738129937105077E-002  0.000000000000000E+000  2.030624517981176E-001
  2.400000000000000E+000 -1.026956297778270E-014 -2.477415856846885E-001  2.951517733267860E-002  0.000000000000000E+000  2.182264083519996E-001
  2.600000000000000E+000 -1.040834085586084E-014 -2.645721566472885E-001  3.159905561873299E-002  0.000000000000000E+000  2.329731010285451E-001
  2.800000000000000E+000 -1.038058528024521E-014 -2.809551784330248E-001  3.363454130506519E-002  0.000000000000000E+000  2.473206371279492E-001
  3.000000000000000E+000 -1.049160758270773E-014 -2.969087875343356E-001  3.562315889933582E-002  0.000000000000000E+000  2.612856286349893E-001
  3.200000000000001E+000 -1.043609643147647E-014 -3.124497329757165E-001  3.756635617599253E-002  0.000000000000000E+000  2.748833767997135E-001
  3.400000000000001E+000 -1.043609643147647E-014 -3.275935376185224E-001  3.946550963943865E-002  0.000000000000000E+000  2.881280279790733E-001
  3.600000000000001E+000 -1.054711873393899E-014 -3.423546355493411E-001  4.132192959070483E-002  0.000000000000000E+000  3.010327059586257E-001
  3.800000000000001E+000 -1.071365218763276E-014 -3.567464897455896E-001  4.313686479925490E-002  0.000000000000000E+000  3.136096249463241E-001
  4.000000000000001E+000 -1.060262988517024E-014 -3.707816934019579E-001  4.491150679601346E-002  0.000000000000000E+000  3.258701866059339E-001
  4.500000000000001E+000 -1.071365218763276E-014 -4.038027540649617E-001  4.911197802198276E-002  0.000000000000000E+000  3.546907760429683E-001
  5.000000000000001E+000 -1.076916333886402E-014 -4.349076483404070E-001  5.309171746357021E-002  0.000000000000000E+000  3.818159308768260E-001
  5.500000000000001E+000 -1.076916333886402E-014 -4.642293108893160E-001  5.686467278148067E-002  0.000000000000000E+000  4.073646381078245E-001
  6.000000000000001E+000 -1.082467449009528E-014 -4.918859907474018E-001  6.044353450099575E-002  0.000000000000000E+000  4.314424562463952E-001
  6.500000000000001E+000 -1.104671909502031E-014 -5.179837705038679E-001  6.383990626464268E-002  0.000000000000000E+000  4.541438642392142E-001
  7.000000000000001E+000 -1.099120794378905E-014 -5.426185406711365E-001  6.706444500186801E-002  0.000000000000000E+000  4.755540956692574E-001
  7.500000000000001E+000 -1.110223024625157E-014 -5.658775615505716E-001  7.012697703270325E-002  0.000000000000000E+000  4.957505845178572E-001
  8.000000000000000E+000 -1.110223024625157E-014 -5.878407099418285E-001  7.303659489535838E-002  0.000000000000000E+000  5.148041150464590E-001
  8.500000000000000E+000 -1.110223024625157E-014 -6.085814828357664E-001  7.580173864726017E-002  0.000000000000000E+000  5.327797441884952E-001
  9.000000000000000E+000 -1.121325254871408E-014 -6.281678122360278E-001  7.843026459071585E-002  0.000000000000000E+000  5.497375476453007E-001
  9.500000000000000E+000 -1.121325254871408E-014 -6.466627321843436E-001  8.092950375909012E-002  0.000000000000000E+000  5.657332284252422E-001
  1.000000000000000E+001 -1.132427485117660E-014 -6.641249294219290E-001  8.330631202189641E-002  0.000000000000000E+000  5.808186174000213E-001
  1.100000000000000E+001 -1.154631945610163E-014 -6.953213037864932E-001  8.761742185405495E-002  0.000000000000000E+000  6.077038819324266E-001
  1.200000000000000E+001 -1.154631945610163E-014 -7.231582697149632E-001  9.152952748823993E-002  0.000000000000000E+000  6.316287422267117E-001
  1.300000000000000E+001 -1.154631945610163E-014 -7.479631613507263E-001  9.508132818579920E-002  0.000000000000000E+000  6.528818331649155E-001
  1.400000000000000E+001 -1.187938636348917E-014 -7.700279165110036E-001  9.830737725691080E-002  0.000000000000000E+000  6.717205392540809E-001
  1.500000000000000E+001 -1.165734175856414E-014 -7.896138116007287E-001  1.012386223189358E-001  0.000000000000000E+000  6.883751892817813E-001
  1.600000000000000E+001 -1.154631945610163E-014 -8.069553156570265E-001  1.039028511935595E-001  0.000000000000000E+000  7.030524644634554E-001
  1.700000000000000E+001 -1.176836406102666E-014 -8.222632888798419E-001  1.063250653660244E-001  0.000000000000000E+000  7.159382235138058E-001
  1.800000000000000E+001 -1.187938636348917E-014 -8.357276811939853E-001  1.085277967866514E-001  0.000000000000000E+000  7.271998844073221E-001
  1.900000000000000E+001 -1.187938636348917E-014 -8.475198399615412E-001  1.105313795396512E-001  0.000000000000000E+000  7.369884604218782E-001
  2.000000000000000E+001 -1.187938636348917E-014 -8.577945050467031E-001  1.123541849486042E-001  0.000000000000000E+000  7.454403200980869E-001
  2.200000000000000E+001 -1.221245327087672E-014 -8.732849803919508E-001  1.153967669565183E-001  0.000000000000000E+000  7.578882134354203E-001
  2.400000000000000E+001 -1.210143096841421E-014 -8.845661327718531E-001  1.179373782062677E-001  0.000000000000000E+000  7.666287545655733E-001
  2.600000000000000E+001 -1.221245327087672E-014 -8.923411190904279E-001  1.200597010718414E-001  0.000000000000000E+000  7.722814180185743E-001
  2.800000000000000E+001 -1.232347557333924E-014 -8.971928675557787E-001  1.218331382464879E-001  0.000000000000000E+000  7.753597293092784E-001
  3.000000000000000E+001 -1.298960938811433E-014 -8.996052549109909E-001  1.233153178046544E-001  0.000000000000000E+000  7.762899371063235E-001
  3.200000000000000E+001 -1.298960938811433E-014 -8.999803382009125E-001  1.245541324279100E-001  0.000000000000000E+000  7.754262057729895E-001
  3.400000000000000E+001 -1.276756478318930E-014 -8.986524493698204E-001  1.255894094043317E-001  0.000000000000000E+000  7.730630399654759E-001
  3.600000000000000E+001 -1.310063169057685E-014 -8.958997724629052E-001  1.264542844621286E-001  0.000000000000000E+000  7.694454880007635E-001
