! time                    loop_density            loop_size               
  2.200000000000000E+003  4.568505282334227E-005  2.125727327850153E+000
  2.300000000000000E+003  4.986411401947790E-005  2.127363576094783E+000
  2.400000000000000E+003  5.415602512284207E-005  2.128933785673266E+000
  2.500000000000000E+003  5.855338050591717E-005  2.130442808001908E+000
  2.600000000000000E+003  6.304922733992977E-005  2.131894931630435E+000
  2.700000000000000E+003  6.763704491198569E-005  2.133293975190032E+000
  2.800000000000000E+003  7.231072257786080E-005  2.134643360580367E+000
  2.900000000000000E+003  7.706453715362688E-005  2.135946171401568E+000
  3.000000000000000E+003  8.189313032191481E-005  2.137205200199939E+000
  3.100000000000000E+003  8.679148645748386E-005  2.138422987112561E+000
  3.200000000000000E+003  9.175491114881448E-005  2.139601851811475E+000
  3.300000000000000E+003  9.677901059733924E-005  2.140743920164411E+000
  3.400000000000000E+003  1.018596720056962E-004  2.141851146682286E+000
  3.500000000000000E+003  1.069930450149448E-004  2.142925333571617E+000
  3.600000000000000E+003  1.121755242133915E-004  2.143968147024533E+000
  3.700000000000000E+003  1.174037327130221E-004  2.144981131240844E+000
  3.800000000000000E+003  1.226745067708644E-004  2.145965720572533E+000
  3.900000000000000E+003  1.279848814198946E-004  2.146923250101776E+000
  4.000000000000000E+003  1.333320770658182E-004  2.147854964902588E+000
  4.100000000000000E+003  1.387134870010598E-004  2.148762028188857E+000
  4.200000000000000E+003  1.441266657846894E-004  2.149645528514461E+000
  4.300000000000000E+003  1.495693184361609E-004  2.150506486161761E+000
  4.400000000000000E+003  1.550392903911174E-004  2.151345858831514E+000
  4.500000000000000E+003  1.605345581687766E-004  2.152164546728395E+000
  4.600000000000000E+003  1.660532207022472E-004  2.152963397121247E+000
  4.700000000000000E+003  1.715934912853555E-004  2.153743208444771E+000
  4.800000000000000E+003  1.771536900920023E-004  2.154504733999292E+000
  4.900000000000000E+003  1.827322372266346E-004  2.155248685296874E+000
  5.000000000000000E+003  1.883276462670031E-004  2.155975735095175E+000
  5.100000000000000E+003  1.939385182629339E-004  2.156686520154625E+000
  5.200000000000000E+003  1.995635361573363E-004  2.157381643749718E+000
  5.300000000000000E+003  2.052014595980573E-004  2.158061677961107E+000
  5.400000000000000E+003  2.108511201114692E-004  2.158727165771767E+000
  5.500000000000000E+003  2.165114166108332E-004  2.159378622987551E+000
  5.600000000000000E+003  2.221813112144974E-004  2.160016539999956E+000
  5.700000000000000E+003  2.278598253508835E-004  2.160641383406801E+000
  5.800000000000000E+003  2.335460361289761E-004  2.161253597504629E+000
  5.900000000000000E+003  2.392390729546659E-004  2.161853605665108E+000
  6.000000000000000E+003  2.449381143748198E-004  2.162441811606265E+000
  6.100000000000000E+003  2.506423851323492E-004  2.163018600568252E+000
  6.200000000000000E+003  2.563511534168514E-004  2.163584340402229E+000
  6.300000000000000E+003  2.620637282965926E-004  2.164139382580086E+000
  6.400000000000000E+003  2.677794573187041E-004  2.164684063131913E+000
  6.500000000000000E+003  2.734977242654847E-004  2.165218703517383E+000
  6.600000000000000E+003  2.792179470556295E-004  2.165743611436648E+000
  6.700000000000000E+003  2.849395757800753E-004  2.166259081585753E+000
  6.800000000000000E+003  2.906620908629380E-004  2.166765396361107E+000
  6.900000000000000E+003  2.963850013387500E-004  2.167262826517105E+000
  7.000000000000000E+003  3.021078432378727E-004  2.167751631780620E+000
  7.100000000000000E+003  3.078301780725784E-004  2.168232061425734E+000
  7.200000000000000E+003  3.135515914168578E-004  2.168704354811777E+000
  7.300000000000000E+003  3.192716915735375E-004  2.169168741887441E+000
  7.400000000000000E+003  3.249901083227641E-004  2.169625443663534E+000
  7.500000000000000E+003  3.307064917463573E-004  2.170074672656689E+000
  7.600000000000000E+003  3.364205111229410E-004  2.170516633306130E+000
  7.700000000000000E+003  3.421318538891304E-004  2.170951522365457E+000
  7.800000000000000E+003  3.478402246624058E-004  2.171379529271213E+000
  7.900000000000000E+003  3.535453443216125E-004  2.171800836489876E+000
  8.000000000000000E+003  3.592469491413255E-004  2.172215619844755E+000
  8.100000000000000E+003  3.649447899765832E-004  2.172624048824194E+000
  8.200000000000000E+003  3.706386314947471E-004  2.173026286872320E+000
  8.300000000000000E+003  3.763282514514694E-004  2.173422491663537E+000
  8.400000000000000E+003  3.820134400079673E-004  2.173812815361811E+000
  8.500000000000000E+003  3.876939990869954E-004  2.174197404865763E+000
  8.600000000000000E+003  3.933697417650907E-004  2.174576402040483E+000
  8.700000000000000E+003  3.990404916988298E-004  2.174949943936917E+000
  8.800000000000000E+003  4.047060825829967E-004  2.175318162999598E+000
  8.900000000000000E+003  4.103663576386958E-004  2.175681187263488E+000
  9.000000000000000E+003  4.160211691295884E-004  2.176039140540567E+000
  9.100000000000000E+003  4.216703779045408E-004  2.176392142596819E+000
  9.200000000000000E+003  4.273138529650976E-004  2.176740309320208E+000
  9.300000000000000E+003  4.329514710562906E-004  2.177083752880153E+000
  9.400000000000000E+003  4.385831162793991E-004  2.177422581879047E+000
  9.500000000000000E+003  4.442086797253606E-004  2.177756901496260E+000
  9.600000000000000E+003  4.498280591276228E-004  2.178086813625085E+000
  9.700000000000000E+003  4.554411585333013E-004  2.178412417003019E+000
  9.800000000000000E+003  4.610478879915807E-004  2.178733807335771E+000
  9.900000000000000E+003  4.666481632583676E-004  2.179051077415358E+000
  1.000000000000000E+004  4.722419055162628E-004  2.179364317232602E+000
