 time    0.0000000000000000     
          -3   1  5.808367555490594E-007
          -2   1  1.046304796100479E-005
          -1   1  1.209038673507491E-001
 time   0.75000000000000011     
          -5   1  1.624877088528853E-007
          -4   1  2.931564059681803E-007
          -3   1  5.810531984350745E-007
          -2   1  1.110608539338208E-005
          -1   1  1.248886406398229E-001
 time   0.80000000000000016     
          -5   1  1.625956811554536E-007
          -4   1  2.932618791649287E-007
          -3   1  5.812487562692195E-007
          -2   1  1.172382257747873E-005
          -1   1  1.285900923953936E-001
 time   0.85000000000000020     
          -5   1  1.626868682660447E-007
          -4   1  2.933518684885245E-007
          -3   1  5.814267045998218E-007
          -2   1  1.231499366386671E-005
          -1   1  1.320259921645559E-001
 time   0.90000000000000024     
          -5   1  1.627645560444045E-007
          -4   1  2.934293617339131E-007
          -3   1  5.815897319032262E-007
          -2   1  1.287867167560242E-005
          -1   1  1.352125706347793E-001
 time   0.95000000000000029     
          -5   1  1.628314825017100E-007
          -4   1  2.934968468472551E-007
          -3   1  5.817400578275906E-007
          -2   1  1.341423522337925E-005
          -1   1  1.381648014659028E-001
 time    1.0000000000000002     
          -5   1  1.628899302577411E-007
          -4   1  2.935563995191865E-007
          -3   1  5.818795257678286E-007
          -2   1  1.392133706460040E-005
          -1   1  1.408966096446566E-001
 time    1.1000000000000003     
          -5   1  1.629873691151684E-007
          -4   1  2.936572909378318E-007
          -3   1  5.821260035974659E-007
          -2   1  1.481774144309748E-005
          -1   1  1.455838275747126E-001
 time    1.2000000000000004     
          -5   1  1.630739657581956E-007
          -4   1  2.937475657648763E-007
          -3   1  5.823492737703638E-007
          -2   1  1.560843344859972E-005
          -1   1  1.495800819973761E-001
 time    1.3000000000000005     
          -5   1  1.631555652876485E-007
          -4   1  2.938326300136132E-007
          -3   1  5.825541770019277E-007
          -2   1  1.629711405102362E-005
          -1   1  1.529626463260426E-001
 time    1.4000000000000006     
          -5   1  1.632363690108686E-007
          -4   1  2.939164138339619E-007
          -3   1  5.827445615966598E-007
          -2   1  1.688922096595116E-005
          -1   1  1.558015971773228E-001
 time    1.5000000000000007     
          -5   1  1.633193215008343E-007
          -4   1  2.940017055180540E-007
          -3   1  5.829235176793301E-007
          -2   1  1.739134845640174E-005
          -1   1  1.581604772709640E-001
 time    1.6000000000000008     
          -5   1  1.634064093203823E-007
          -4   1  2.940904113784612E-007
          -3   1  5.830935401999492E-007
          -2   1  1.781077161208850E-005
          -1   1  1.600967983586761E-001
 time    1.7000000000000008     
          -5   1  1.634988924126800E-007
          -4   1  2.941837600672875E-007
          -3   1  5.832566462064637E-007
          -2   1  1.815506871707603E-005
          -1   1  1.616624664694324E-001
 time    1.8000000000000009     
          -5   1  1.635974832053504E-007
          -4   1  2.942824633952206E-007
          -3   1  5.834144613185342E-007
          -2   1  1.843183120483736E-005
          -1   1  1.629041711278535E-001
 time    1.9000000000000010     
          -5   1  1.637024852713225E-007
          -4   1  2.943868429609838E-007
          -3   1  5.835682855824011E-007
          -2   1  1.864844912798353E-005
          -1   1  1.638637577630388E-001
 time    2.0000000000000009     
          -5   1  1.638139007368401E-007
          -4   1  2.944969298167106E-007
          -3   1  5.837191454825881E-007
          -2   1  1.881195975656874E-005
          -1   1  1.645785905787683E-001
 time    2.1000000000000010     
          -5   1  1.639315135098338E-007
          -4   1  2.946125428074900E-007
          -3   1  5.838678365166531E-007
          -2   1  1.892894750605961E-005
          -1   1  1.650819071838655E-001
 time    2.2000000000000011     
          -5   1  1.640549537548090E-007
          -4   1  2.947333500090535E-007
          -3   1  5.840149591358543E-007
          -2   1  1.900548452497852E-005
          -1   1  1.654031636147928E-001
 time    2.3000000000000012     
          -5   1  1.641837477771059E-007
          -4   1  2.948589167503625E-007
          -3   1  5.841609497980654E-007
          -2   1  1.904710265810060E-005
          -1   1  1.655683674691683E-001
 time    2.4000000000000012     
          -5   1  1.643173565161789E-007
          -4   1  2.949887429773490E-007
          -3   1  5.843061082015517E-007
          -2   1  1.905878894634244E-005
          -1   1  1.656003968291570E-001
 time    2.5000000000000013     
          -5   1  1.644552051140696E-007
          -4   1  2.951222921401627E-007
          -3   1  5.844506213467331E-007
          -2   1  1.904499820655317E-005
          -1   1  1.655193030056749E-001
 time    2.6000000000000014     
          -5   1  1.645967054662299E-007
          -4   1  2.952590133333694E-007
          -3   1  5.845945848212478E-007
          -2   1  1.900967748640359E-005
          -1   1  1.653425956250516E-001
 time    2.7000000000000015     
          -5   1  1.647412732352652E-007
          -4   1  2.953983580607828E-007
          -3   1  5.847380215616530E-007
          -2   1  1.895629828226662E-005
          -1   1  1.650855090840946E-001
 time    2.8000000000000016     
          -5   1  1.648883404822919E-007
          -4   1  2.955397927143833E-007
          -3   1  5.848808982722331E-007
          -2   1  1.888789333577842E-005
          -1   1  1.647612498610111E-001
 time    2.9000000000000017     
          -5   1  1.650373648214589E-007
          -4   1  2.956828076347644E-007
          -3   1  5.850231396501727E-007
          -2   1  1.880709559567281E-005
          -1   1  1.643812245674005E-001
 time    3.0000000000000018     
          -5   1  1.651878358125015E-007
          -4   1  2.958269234463381E-007
          -3   1  5.851646405586391E-007
          -2   1  1.871617756048779E-005
          -1   1  1.639552489566354E-001
 time    3.1000000000000019     
          -5   1  1.653392791599488E-007
          -4   1  2.959716952240352E-007
          -3   1  5.853052762932270E-007
          -2   1  1.861708972271088E-005
          -1   1  1.634917383701122E-001
 time    3.2000000000000020     
          -5   1  1.654912591749999E-007
          -4   1  2.961167149411993E-007
          -3   1  5.854449110953563E-007
          -2   1  1.851149723408281E-005
          -1   1  1.629978803114933E-001
 time    3.4000000000000021     
          -5   1  1.657951227384958E-007
          -4   1  2.964058311767543E-007
          -3   1  5.857198458790231E-007
          -2   1  1.828352637360551E-005
          -1   1  1.619305148971951E-001
 time    3.6000000000000023     
          -5   1  1.660958495701415E-007
          -4   1  2.966910058694128E-007
          -3   1  5.859884960679756E-007
          -2   1  1.804615267350381E-005
          -1   1  1.608141761951609E-001
 time    3.8000000000000025     
          -5   1  1.663917342247773E-007
          -4   1  2.969706789613327E-007
          -3   1  5.862501251642047E-007
          -2   1  1.780443492761625E-005
          -1   1  1.596710702810772E-001
 time    4.0000000000000027     
          -5   1  1.666815288502935E-007
          -4   1  2.972437249857879E-007
          -3   1  5.865041870383376E-007
          -2   1  1.756192334066646E-005
          -1   1  1.585170190036822E-001
 time    4.2000000000000028     
          -5   1  1.669643602415698E-007
          -4   1  2.975093736981824E-007
          -3   1  5.867503128628854E-007
          -2   1  1.732105133949705E-005
          -1   1  1.573630891806634E-001
 time    4.4000000000000030     
          -5   1  1.672396587365102E-007
          -4   1  2.977671416582901E-007
          -3   1  5.869882933637179E-007
          -2   1  1.708343860927666E-005
          -1   1  1.562168508183820E-001
 time    4.6000000000000032     
          -5   1  1.675070965448555E-007
          -4   1  2.980167728611348E-007
          -3   1  5.872180571759440E-007
          -2   1  1.685012104868566E-005
          -1   1  1.550833359458010E-001
 time    4.8000000000000034     
          -5   1  1.677665347107233E-007
          -4   1  2.982581877720318E-007
          -3   1  5.874396473573700E-007
          -2   1  1.662172231908278E-005
          -1   1  1.539657594777829E-001
 time    5.0000000000000036     
          -5   1  1.680179782561664E-007
          -4   1  2.984914403487106E-007
          -3   1  5.876531980483146E-007
          -2   1  1.639857984231608E-005
          -1   1  1.528660539942983E-001
 time    5.2000000000000037     
          -5   1  1.682615389794551E-007
          -4   1  2.987166825239576E-007
          -3   1  5.878589127514428E-007
          -2   1  1.618083599885466E-005
          -1   1  1.517852613174854E-001
 time    5.4000000000000039     
          -5   1  1.684974052221006E-007
          -4   1  2.989341354575697E-007
          -3   1  5.880570451266655E-007
          -2   1  1.596850321404700E-005
          -1   1  1.507238155559735E-001
 time    5.6000000000000041     
          -5   1  1.687258177937212E-007
          -4   1  2.991440667470411E-007
          -3   1  5.882478827055378E-007
          -2   1  1.576150976407407E-005
          -1   1  1.496817450767136E-001
 time    5.8000000000000043     
          -5   1  1.689470511865669E-007
          -4   1  2.993467727367723E-007
          -3   1  5.884317335705244E-007
          -2   1  1.555973155420680E-005
          -1   1  1.486588147477639E-001
 time    6.0000000000000044     
          -5   1  1.691613992184827E-007
          -4   1  2.995425650789774E-007
          -3   1  5.886089158121156E-007
          -2   1  1.536301383112969E-005
          -1   1  1.476546247558642E-001
 time    6.2000000000000046     
          -5   1  1.693691642981167E-007
          -4   1  2.997317607586090E-007
          -3   1  5.887797494475152E-007
          -2   1  1.517118576732237E-005
          -1   1  1.466686782547419E-001
 time    6.4000000000000048     
          -5   1  1.695706495909446E-007
          -4   1  2.999146748812918E-007
          -3   1  5.889445504307356E-007
          -2   1  1.498407006324324E-005
          -1   1  1.457004269206721E-001
 time    6.6000000000000050     
          -5   1  1.697661534634236E-007
          -4   1  3.000916156220659E-007
          -3   1  5.891036263803140E-007
          -2   1  1.480148911249945E-005
          -1   1  1.447493010435351E-001
 time    6.8000000000000052     
          -5   1  1.699559656835456E-007
          -4   1  3.002628808325511E-007
          -3   1  5.892572736774565E-007
          -2   1  1.462326882805127E-005
          -1   1  1.438147289297868E-001
 time    7.0000000000000053     
          -5   1  1.701403649514531E-007
          -4   1  3.004287558976098E-007
          -3   1  5.894057756294912E-007
          -2   1  1.444924089988780E-005
          -1   1  1.428961490157032E-001
 time    7.5000000000000053     
          -5   1  1.705725112478400E-007
          -4   1  3.008151010360597E-007
          -3   1  5.897496692702821E-007
          -2   1  1.403444072450479E-005
          -1   1  1.406820479719128E-001
 time    8.0000000000000053     
          -5   1  1.709779518023622E-007
          -4   1  3.011749306751849E-007
          -3   1  5.900684689513074E-007
          -2   1  1.364126489345098E-005
          -1   1  1.385502382163020E-001
 time    8.5000000000000053     
          -5   1  1.713596371839105E-007
          -4   1  3.015112318931107E-007
          -3   1  5.903651735457134E-007
          -2   1  1.326834574639768E-005
          -1   1  1.364970329619521E-001
